ISO3,Country/Region,unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BGD,Bangladesh,MtCO2e,110.23,112.3,113.66,116.22,121.34,121.79,124.07,123.99,128.07,129.43,135.74,139.15,141.15,142.96,147.84,153.78,156.51,165.11,169.09,176.73,182.03,186.9,192.19,197.18,205.43,212.54,222.52,231.97,229.71,224.35
ETH,Ethiopia,MtCO2e,93.79,94.63,88.75,89.95,90.79,93.52,97.52,103.24,104.06,100.36,106.64,116.18,114.64,116.75,120.28,125.06,135.11,138.9,142.96,148.17,148.29,153.96,158.2,164.52,167.79,174.17,177.41,180.07,191.33,199.27
TKM,Turkmenistan,MtCO2e,145.04,100.25,110.39,89.36,90.23,87.26,71.82,73.66,92.43,117.81,119.81,128.13,144.32,152.34,157.05,157.27,170.69,178.13,135.59,151.29,182.46,190.72,199.58,197.35,203.46,198.24,196.84,199.52,216.21,194.09
UZB,Uzbekistan,MtCO2e,169.09,157.64,160.33,158.02,148.06,149.37,153.64,170.62,170.93,177.8,169.41,175.7,168.06,171.91,164.92,175.84,170.94,180.12,167.15,178.26,189.62,174.19,172.83,164.93,159.95,168.7,174.02,181.47,186.84,184.15
PER,Peru,MtCO2e,103.14,103.8,104.89,107.26,112.18,115.86,116.82,117.66,121.87,122.48,125.58,127.52,127.47,131.45,133.1,132.43,136.4,141.26,145.34,149.92,177.92,178.24,180.1,183.8,185.54,189.17,186.81,186.99,190.31,179.78
NLD,Netherlands,MtCO2e,217.67,217.01,221.57,221.55,224.42,235.29,227.23,227.44,215.15,213.16,213.93,213.66,213.54,215.24,209.48,204.83,204.32,201.64,196.57,207.22,194.3,192.68,192.35,185.15,193.4,194.3,190.29,184.43,178.85,162.55
TZA,Tanzania,MtCO2e,98.19,98.31,98.93,99.67,103.85,96.44,96.1,100.32,100.44,97.86,103.29,109.06,117.94,117.27,123.43,117.89,119.8,122.49,124.68,127.57,129.3,133.74,135.54,135.79,141.96,153.33,153.04,151.84,156.97,158.82
KWT,Kuwait,MtCO2e,10.55,32.41,46.77,54.45,54.22,54.21,56.8,61.57,64.32,70.11,73.18,74.97,80.22,85.44,94.62,98.3,96.36,103.25,103.43,107.6,113.29,117.81,122.07,121.29,125.79,131.4,130.51,134.81,137.49,135.89
BOL,Bolivia,MtCO2e,115,115.81,114.55,113.72,112.29,111.84,114.29,114.25,119.98,110.4,90.09,96.96,93.32,108.56,102.56,104.49,110.72,104.1,102.14,128.12,113.02,113.51,113.31,113.55,117.14,128.19,126.26,126.68,139.18,131.43
CMR,Cameroon,MtCO2e,84.47,84.01,81.5,134.6,134.21,135.56,136.44,140.42,139.23,140.78,126.39,126.46,129.66,126.26,128.88,126.16,126.66,127.19,126.67,127.05,118.75,118.92,120.9,121.8,123.72,125.54,124.89,125.68,126.77,128.4
SDN,Sudan,MtCO2e,71.09,74.74,76.7,81.38,82.52,87.22,94.9,101.68,105.85,106.32,95.28,100.42,102.94,105.93,110.89,109.98,115.5,115.75,117.45,115.38,118.04,119.42,120.26,121.25,124.64,127.25,126.93,127.87,128.19,128.14
QAT,Qatar,MtCO2e,19.32,19.13,21.94,24.46,25.22,27.85,34.92,36.4,39.51,40.41,40.08,44.07,47.92,51.85,53.56,60.23,68.22,73.84,76,86.7,97.69,106.66,108.73,113.52,116.59,119.02,119.44,119.19,121.51,119.61
AGO,Angola,MtCO2e,68.92,69.75,72.68,75.64,78.78,81.71,80.81,90.24,87.8,81.57,104,108.15,114.75,118.2,118.91,116.62,121.3,124.26,127.06,131.8,130.99,130.23,132.34,134.32,140.55,137.55,136.1,122.18,129.96,119.41
TCD,Chad,MtCO2e,30.71,31.57,32.49,33.51,34.51,37.95,39.67,44.23,46.06,46.34,50.51,54.76,59.02,62.21,65.58,66.98,69.36,69.71,69.68,73.14,84.75,88.17,89.87,92.33,97.02,99.75,101.55,105.93,108.75,114
ZWE,Zimbabwe,MtCO2e,42.85,43.68,40.13,39.85,39.67,41.71,40.83,42.12,44.46,41.46,42.31,39.71,37.38,37.44,38.21,37.16,37.73,35.91,36.58,39.45,42.13,42.23,42.19,40.34,41.86,115.32,115,116.76,116.03,113.2
MOZ,Mozambique,MtCO2e,84.68,85.33,86.05,86.34,86.59,71.41,69.16,72.22,71.06,68.88,87.05,87.26,92.5,91.53,96.69,95.45,96.51,101.79,96.17,104.96,94.15,98.95,100.48,99.99,98.39,109.32,107.7,110.99,105.99,103.81
CZE,Czech Republic,MtCO2e,158.86,154.29,146.91,140.11,138.89,142.91,139.9,132.93,124.42,136.38,138.66,133.1,136.37,136.65,135.14,136.19,138,132.56,126.62,127.89,128.57,125.08,119.84,117.13,119.02,118.6,118.66,117.4,112.1,102.64
BEL,Belgium,MtCO2e,131.82,129.87,127.67,133.03,133.19,138.54,135.36,138.12,134.27,134.3,135.73,128.4,131.79,129.67,126.94,123.03,118.24,120.96,114.45,121.93,110.83,109.61,110.55,104.43,109.08,110.53,108.39,109.15,108.29,100.27
PRY,Paraguay,MtCO2e,72.27,71.56,71.75,71.71,73.68,73.5,74.67,74.8,77.91,73.27,89.41,89.79,91.45,89.22,90.65,90.73,94.24,92.04,94.08,96.58,109.66,110.88,112.48,114.29,114.68,93.54,96.37,94.52,96.7,97.29
OMN,Oman,MtCO2e,24.33,24.16,25.55,27.46,30.85,31.77,33.03,32.24,35.16,39.43,43.18,44.84,46.64,45.91,45.95,54.22,57.1,56.72,59.69,64.02,71.4,79.58,83.5,87.08,91.49,94.85,94.13,99.28,99.97,95.1
ECU,Ecuador,MtCO2e,74.83,77.36,79.02,82.28,84.75,88.87,90.76,89.05,86.2,85.57,82.74,82.32,83.54,87.89,89.62,92.12,91.7,93.43,96.84,100.43,89.14,89.01,92.1,93.81,92.15,100.23,98.86,100.11,100.26,94.19
ZMB,Zambia,MtCO2e,62.1,62.25,61.81,61.08,60.86,48.79,49.28,50.53,48.87,45.42,53.49,56.91,63.38,64.05,66.91,61.7,64.64,67.48,63.53,70.5,84.57,88.3,89.5,90.13,96.24,94.8,95.11,93.86,94.15,91.19
BLR,Belarus,MtCO2e,123.68,108.91,96.14,83.02,75.33,76.15,76.67,74.86,72.92,70.37,76.82,76.35,77.32,80.99,81.8,84.99,83.68,87.73,84.79,89.41,95.15,96.75,97.34,96.59,92.11,86.11,87.61,90.5,88.73,86.3
MAR,Morocco,MtCO2e,33.22,34.32,34.01,37.13,37.82,38.49,40.4,41.3,43.48,44.55,48.47,49.99,49.97,54.6,57.58,59.54,60.28,62.77,62.81,66.22,74.25,76.06,76.55,77.74,79.92,78.2,82.48,83.85,90.6,86.1
ISR,Israel,MtCO2e,45.15,47.95,52.02,55.36,59.21,62.33,65.36,66.72,68.93,73.82,73.68,75.65,76.46,77.56,76.2,80.47,83.62,84.29,83.76,89.22,88.97,95.5,87,85.15,87.26,87.17,88.72,85.08,87.27,83.75
PRK,North Korea,MtCO2e,153.64,139.15,129.62,118.39,109.37,97.47,93.41,86.52,90.69,93.92,92.21,89.66,91.36,93.89,97.23,99.42,86.53,94.68,78.19,75.36,62.79,64.11,53.36,57.37,50.86,54.33,81.28,77.64,82.75,79.44
MNG,Mongolia,MtCO2e,56.51,54.28,53.08,51.27,52.21,51.63,53.83,53.48,53.6,54.77,51.47,49.68,49.45,49.3,52.07,55,57.76,57.98,59.07,56.34,59.14,62.51,65.03,67.58,69.02,71.17,73.99,75.87,79.41,76.38
LBY,Libya,MtCO2e,84.39,75.89,83.6,97.77,105.86,108.69,101.1,100.72,98.66,102.69,98.94,98.3,107.03,110.33,119.49,121.78,117.7,122.3,119.68,126.23,70.06,124.55,108.12,92.39,82.79,79.81,100.22,109.31,114.3,75.37
KHM,Cambodia,MtCO2e,24.96,25.49,26.31,25.07,27.77,23.59,24.92,28.44,28.03,26.37,27.4,30.02,32.56,33.46,31.38,35.24,36.21,35.92,37.5,36.35,100.66,98.68,98.77,99.27,101.54,67.77,70.13,69.61,74.08,74.85
ROU,Romania,MtCO2e,185.85,166.25,155.48,151.44,157,160.67,149.18,133.19,117.41,121.41,123,120.1,125,123.34,122.76,126.35,124,122,106.24,103.37,-174.45,-176.75,-186,-186.66,-184.38,76.35,79.34,80.54,78.94,72.84
KEN,Kenya,MtCO2e,29.55,29.53,29.29,29.64,29.93,29.29,29.03,30.26,32.25,31.22,49.88,50.76,51.77,54.32,54.74,55.15,71.73,72.82,73.3,74.73,69.85,68.94,69.84,72.93,74.93,64.42,62.21,63.25,71.03,72.62
NZL,New Zealand,MtCO2e,46.17,47.01,46.2,47.67,48.95,49.35,51.87,50.19,52.45,52.62,58.39,59.55,62.07,61.45,62.86,63.01,61.89,61.85,58.98,59.12,64.7,67.16,66.79,67.41,66.79,71.5,73.12,72.51,73.89,70.86
SSD,South Sudan,MtCO2e,39.73,42.12,44,45.97,46.76,51.19,56.54,62.18,65.68,67.58,62.04,65.89,68.88,71.36,74.72,73.58,77.64,78.67,80.69,79.94,76.31,60.99,61.15,62.39,62.8,66.55,64.09,69.18,61.46,70.61
GRC,Greece,MtCO2e,94.34,96.41,96.77,99.4,103.82,104.91,105.99,110.19,111.09,116.89,117.26,117.54,120.75,120.81,122.84,121.29,125.2,120.78,114.21,107.34,106.75,102.3,94.63,91.55,89.81,88.53,88.13,85.41,79.93,70.56
IRL,Ireland,MtCO2e,65.09,65.26,65.91,67.33,68.11,69.43,70.8,74.09,75.77,78.94,81.51,80.09,80.98,80.17,81.42,82,80.49,79.4,73.99,72.76,68.67,70.11,69.25,69.57,71.4,73.75,72.91,70.6,68.58,66.46
SGP,Singapore,MtCO2e,33.99,36.62,43.08,46.6,47.91,49.3,49.4,48.74,49.95,54.81,54.73,53.98,50.83,52.29,49.57,50,51.28,51.58,52.14,55.9,58.94,58.54,59.44,60.61,62.33,62.69,65.77,64.36,65.04,64.3
AUT,Austria,MtCO2e,67.61,61.79,61.72,61.79,64.27,67.99,67.02,66.99,65.17,65.4,77.02,78.52,83.45,84.34,84.39,82.18,79.23,78.98,71.79,77.58,74.86,71.42,72.03,68.27,69.55,69.85,71.77,68.66,69.7,64.09
SRB,Serbia,MtCO2e,69.09,63.72,57.99,54.28,60.83,68.45,73.39,73.15,55.68,57.71,27.36,30.74,33.79,39.12,31.42,33.63,32.57,30.33,27.87,27.4,64.48,59.63,60.35,52.36,58.68,62.89,63.27,61.57,62.08,62.81
FIN,Finland,MtCO2e,44.39,41.29,42.53,49.17,45.21,51.68,49.79,46.23,45.76,44.69,65.87,68.26,76.59,72.82,60.53,72.17,70.21,62.01,58.59,66.72,19.24,13.65,14.43,10.41,6.94,70.93,68.21,69.77,66.6,61.7
HUN,Hungary,MtCO2e,86.01,76.12,76.59,76.31,74.62,76.84,75.15,75.07,75.86,72.88,75.77,74.14,76.88,75.71,75.02,74.3,72.13,70.75,64.91,64.87,63.19,59.32,56.96,57.25,60.18,61.49,66.51,66.09,63.89,61.39
BFA,Burkina Faso,MtCO2e,24.47,24.76,24.99,25.44,25.8,26.96,27.57,28.4,28.38,29.78,31.56,32.24,35.65,36.18,36.79,36.8,37.51,38.31,38.96,40.1,29.94,30.62,31.61,32.09,33.24,52.94,53.89,54.76,55.74,56.36
PRT,Portugal,MtCO2e,59.42,63.46,62.37,64.28,68.04,66.45,68.78,73.97,80.68,80.2,78.6,83.23,78.68,80.43,83.62,78.47,77.08,74.83,74.04,68.64,66.35,64.66,62.97,62.56,66.68,66.78,71.73,66.89,61.84,56.01
CAF,Central African Republic,MtCO2e,50.89,50.94,50.99,53.49,53.62,38.24,41.53,46.74,43,44.22,57.03,52.3,68.85,55.51,63.37,61.99,64.79,64.11,51.62,60.57,63.43,58.2,56.15,52.59,55.05,63.58,57.68,57.54,55.64,55.52
BHR,Bahrain,MtCO2e,15.59,17.79,18.78,19.23,19.95,21.2,22.2,23.95,24.54,25.62,26.45,27.65,28.72,28.96,32.24,34.71,35.91,38.4,38.94,40.9,41.6,43.19,46.01,48.1,48.87,49.46,50.34,51.25,54.19,54.15
UGA,Uganda,MtCO2e,28.14,28.38,28.73,28.38,29.04,29.79,31.15,32.57,32.38,32.16,31.78,32.53,34.25,34.19,36.18,34.72,37.39,43.58,43.89,45.36,45.61,47.22,47.11,48.13,49.79,49.86,50.63,51.89,52.61,53.61
BWA,Botswana,MtCO2e,53.27,53.5,53.16,53.39,54.29,55.87,55.42,55.13,55.1,54.77,56.6,56.94,49.82,50.42,51.83,53.65,51.9,60.63,51.56,62,66.85,54.15,55.09,53.8,53.18,52.08,55.84,54.43,51.76,53.52
AZE,Azerbaijan,MtCO2e,71.49,80.83,60.27,40.88,40,34.51,34.07,34.6,34.86,36.63,35.78,35.85,38.56,38.63,41.72,44.11,43.27,47.75,43.61,42.51,43.94,46.99,48.19,49.42,49.29,50.57,49.85,51.26,54.62,53.45
CIV,Côte d'Ivoire,MtCO2e,71.61,74.25,76.93,79.76,80.63,81.6,83.35,84.12,86.32,86.32,51.52,51.92,49.26,47.67,49,48.04,47.47,47.01,45.56,45.23,44.86,46.49,47.92,47.81,48.62,50.13,50.65,50.55,51.66,52.47
