ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Algeria,DZ,DZA,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,30.8266,30.6701,30.5136,30.3571,30.2006,30.0441,29.8876,29.7312,29.5747,30.2307,30.8868,31.5428,32.1989,32.8549,33.5109,34.167,34.823,35.4791,36.1351,36.3057,36.4763,36.6468,36.8174,36.988,36.8706,36.6061,36.1682,36.5114,36.7192
22,Algeria,DZ,DZA,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1649.4,1640.6,1631.8,1623,1614.2,1605.4,1596.6,1587.8,1579,1612.9,1646.8,1680.7,1714.6,1748.5,1782.4,1816.3,1850.2,1884.1,1918,1925.6,1933.2,1940.8,1948.4,1956,1956,1943,1930,1939,1949
23,Algeria,DZ,DZA,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.49232157,98.98464313,98.4769647,97.96928627,97.46160783,96.9539294,96.44657536,95.93889693,98.06692921,100.1952859,102.3233182,104.4516749,106.5797071,108.7077394,110.8360961,112.9641284,115.0924851,117.2205173,117.7739355,118.3273536,118.8804474,119.4338656,119.9872837,119.6064438,118.7484186,117.3278921,118.4412164,119.1153095
24,Algeria,DZ,DZA,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.46647266,98.93294531,98.39941797,97.86589063,97.33236328,96.79883594,96.2653086,95.73178125,97.78707409,99.84236692,101.8976598,103.9529526,106.0082454,108.0635383,110.1188311,112.1741239,114.2294168,116.2847096,116.7454832,117.2062568,117.6670304,118.127804,118.5885777,118.5885777,117.8004123,117.0122469,117.5578998,118.1641809
25,Algeria,DZ,DZA,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174.1,238174.1,238174.1,238174.1,238174.1,238174.1
26,Algeria,DZ,DZA,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,0.692518915,0.688824137,0.685129359,0.681434581,0.677739804,0.674045026,0.670350248,0.66665547,0.662960693,0.677193984,0.691427276,0.705660567,0.719893859,0.734127151,0.748360442,0.762593734,0.776827026,0.791060317,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896
27,American Samoa,AS,ASM,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1.1817,1.1956,1.2095,1.2234,1.2373,1.2512,1.2651,1.279,1.2929,1.3036,1.3144,1.3251,1.3359,1.3466,1.3573,1.3681,1.3788,1.3896,1.4003,1.4101,1.4199,1.4297,1.4395,1.4493,1.4611,1.4727,1.4847,1.4938,1.5054
28,American Samoa,AS,ASM,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,18.002,17.968,17.934,17.9,17.866,17.832,17.798,17.764,17.73,17.7,17.67,17.64,17.61,17.58,17.55,17.52,17.49,17.46,17.43,17.4,17.37,17.34,17.31,17.28,17.25,17.22,17.19,17.16,17.13
29,American Samoa,AS,ASM,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,101.1762715,102.3525429,103.5288144,104.7050859,105.8813574,107.0576288,108.2339003,109.4101718,110.3156469,111.2295845,112.1350597,113.0489972,113.9544724,114.8599475,115.7738851,116.6793602,117.5932978,118.498773,119.3280867,120.1574004,120.9867141,121.8160278,122.6453415,123.6439029,124.6255395,125.6410256,126.4111026,127.3927393
30,American Samoa,AS,ASM,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.8111321,99.62226419,99.43339629,99.24452839,99.05566048,98.86679258,98.67792468,98.48905677,98.32240862,98.15576047,97.98911232,97.82246417,97.65581602,97.48916787,97.32251972,97.15587157,96.98922342,96.82257527,96.65592712,96.48927897,96.32263082,96.15598267,95.98933452,95.82268637,95.65603822,95.48939007,95.32274192,95.15609377
31,American Samoa,AS,ASM,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
32,American Samoa,AS,ASM,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,90.01,89.84,89.67,89.5,89.33,89.16,88.99,88.82,88.65,88.5,88.35,88.2,88.05,87.9,87.75,87.6,87.45,87.3,87.15,87,86.85,86.7,86.55,86.4,86.25,86.1,85.95,85.8,85.65
33,Americas,,AMETMP,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,143539.8246,143225.9246,142912.0242,142598.1243,142284.2241,141970.3242,141656.4242,141342.524,141028.624,140665.6924,140302.7613,139939.8301,139576.8985,139213.967,138851.0357,138488.1041,138125.173,137762.2417,137399.3103,137308.0556,137216.9093,137125.7636,137034.6174,136943.4716,136837.4255,136673.0453,136627.0998,136434.7939,136258.1466
34,Americas,,AMETMP,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1710039.454,1704648.846,1699258.238,1693867.63,1688477.022,1683086.414,1677695.806,1672305.198,1666914.59,1661853.906,1656793.222,1651732.538,1646671.854,1641611.17,1636550.486,1631489.802,1626429.118,1621368.434,1616307.75,1613645.89,1610987.79,1608329.69,1605671.59,1603013.49,1600003.02,1596205.189,1593849.66,1591309.3,1588889.18
35,Americas,,AMETMP,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.78131505,99.56262981,99.34394493,99.12525983,98.90657495,98.68788999,98.4692049,98.25051995,97.99767611,97.74483262,97.49198906,97.23914523,96.98630146,96.73345783,96.48061399,96.22777051,95.97492688,95.72208318,95.6585087,95.59500974,95.53151119,95.4680123,95.40451368,95.33063446,95.21611558,95.1841067,95.0501328,94.92706779
36,Americas,,AMETMP,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,99.68476704,99.36953408,99.05430112,98.73906816,98.4238352,98.10860224,97.79336928,97.47813631,97.18219671,96.88625711,96.5903175,96.2943779,95.99843829,95.70249869,95.40655908,95.11061948,94.81467987,94.51874027,94.36307953,94.20763867,94.05219782,93.89675696,93.7413161,93.56526928,93.343179,93.20543197,93.05687634,92.91535212
37,Americas,,AMETMP,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,3854096.6,3854096.6,3854096.6,3854096.6,3854096.6,3860971.6,3858123.6,3858123.6,3858419.6,3858419.6,3858318.6,3858319.6,3858320.6,3858323.6,3858322.6,3858323.6,3856873.6,3856873.6,3856873.6,3856828.9,3856807.5,3856564.6,3856522.6,3856530.6,3856524.6,3856500.6,3856506.6,3856506.6,3856506.6
38,Americas,,AMETMP,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,44.36939785,44.22953088,44.08966392,43.94979695,43.80992998,43.59230236,43.48476047,43.34503949,43.202004,43.0708445,42.94080904,42.809635,42.67846104,42.54726509,42.41611331,42.28493955,42.16962459,42.03841251,41.90720043,41.83866933,41.76998178,41.70368856,41.63521796,41.56620694,41.48820988,41.38998938,41.32884564,41.26297359,41.20021939
39,"Andorra, Principality of",AD,AND,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898,1.3898
40,"Andorra, Principality of",AD,AND,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
41,"Andorra, Principality of",AD,AND,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,"Andorra, Principality of",AD,AND,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
